NAmostra,Hidrogênio,Oxigênio,Nitrogênio,MonóxidoDeCarbono,DióxidoDeCarbono,Metano,Etileno,Etano,Acetileno,NBR7274,IEC60599,Laborelec,Rogers,Duval,Dornenburg,DiagReal
99,"4,7E+017","2,66E+019","3,01E+020","1,63E+018","1,96E+018","1,01E+018","1,5E+017","1,7E+018","2,5E+017",NFD,FTB,FTBMA,NFD,DER,NFD,DAE
100,"6,9E+017","4,92E+019","6,52E+020","1,22E+018","1,09E+019","8,7E+017","1,4E+017","1,55E+018","3,7E+017",NFD,FTB,NFD,NFD,DER,NFD,DAE
101,"6,9E+017","4,92E+019","6,52E+020","1,22E+018","1,09E+019","8,7E+017","1,4E+017","1,55E+018","3,7E+017",NFD,FTB,NFD,NFD,DER,NFD,DAE
102,"1,09E+018","3,54E+019","6,41E+020","1,25E+018","1,33E+019","9,7E+017","1,9E+017","1,66E+018","5,5E+017",NFD,NFD,FTBMA,NFD,DER,NFD,DAE
103,4E+016,"2,81E+019","3,99E+020",4E+017,"2,3E+018",6E+016,2E+016,"3,3E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
104,5E+016,"2,64E+019","3,71E+020","8,9E+017","4,34E+018","2,7E+017",4E+016,"7,9E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
105,"2,6E+017","4,24E+019","5,09E+020","1,24E+018","6,36E+018","4,4E+017",6E+016,"8,6E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
106,"4,7E+017","1,21E+019","4,32E+020","1,2E+018","6,22E+018","3,8E+017",7E+016,"6,9E+017","1,8E+017",NFD,NFD,NFD,NFD,DER,NFD,DAE
107,9E+016,"3,21E+019","2,36E+020","5,2E+017","3,32E+018",2E+017,5E+016,5E+017,0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
108,8E+016,"1,74E+019","2,67E+020","9,6E+017","4,05E+018","2,7E+017",2E+016,"4,6E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
109,"2,7E+017","3,18E+019","3,05E+020","1,24E+018","1,02E+019","4,7E+017",1E+017,"7,8E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
110,"4,6E+017",3E+019,"2,34E+020","1,31E+018","1,19E+019","6,5E+017",6E+016,"8,7E+017",3E+016,NFD,FTB,NFD,NFD,FTBMA,FTBMA,DAE
111,"1,5E+017","2,92E+019","2,38E+020","4,2E+017","3,98E+018","1,4E+017",3E+016,"2,9E+017",0,SF,NFD,NFD,FTB,FTBMA,NFD,SF
112,"1,7E+017","1,13E+019","1,81E+020","9,8E+017","4,82E+018","1,8E+017",2E+016,2E+017,2E+016,NFD,FTB,NFD,NFD,FTBMA,NFD,SF
113,"5,3E+017","2,25E+019","4,5E+020","1,3E+018","9,4E+018","6,5E+017",4E+016,6E+017,0,FTB,FTB,NFD,FTB,FTBMA,NFD,DAE
114,8E+017,"7,17E+019","6,61E+020","1,47E+018","1,28E+019","8,4E+017","2,1E+017","1,07E+018","4,7E+017",NFD,FTB,NFD,NFD,DER,NFD,DAE
115,6E+016,0,0,"1,6E+017","1,25E+018",0,0,0,0,DPP,DPPA,NFD,DPPA,NFD,NFD,SF
116,"1,7E+017",0,0,"1,24E+018","6,86E+018",0,4E+016,2E+016,0,NFD,NFD,NFD,NFD,NFD,NFD,SF
117,3E+017,0,0,"1,34E+018","7,63E+018",0,7E+016,2E+016,0,NFD,NFD,NFD,NFD,NFD,NFD,SF
118,0,0,0,"8,18E+018","2,1E+019","6,03E+019","2,78E+019","1,24E+019",9E+016,NFD,NFD,NFD,NFD,FTBMA,DPPA,DER
119,"1,4E+017","1,85E+020","6,83E+020",3E+016,"1,49E+019",2E+016,6E+016,0,0,SF,NFD,NFD,SF,FTBMA,NFD,SF
120,"5,22E+018","6,17E+019","4,92E+020","6,5E+017","1,17E+019","3,98E+018","5,43E+018","5,4E+017",5E+016,NFD,NFD,FTBMA,NFD,FTBMA,NFD,FTM
121,"9,13E+018","1,96E+020","7,19E+020","7,08E+018","1,78E+019","1,04E+019","1,58E+019","1,16E+018","1,1E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
122,"1,1E+019","1,7E+019","2,4E+020","2,7E+018",2E+019,"2,4E+018","4,4E+017","3,6E+017",0,FTB,NFD,DPPA,FTA,FTBMA,NFD,FTM
123,"1,1E+019","1,9E+019","3,9E+020",4E+018,"5,2E+019","3,8E+018","6,8E+017","5,8E+017",0,FTB,NFD,DPPA,FTA,FTBMA,NFD,FTM
124,"1,3E+019","2,3E+019","4,3E+020",5E+018,5E+019,5E+018,"8,7E+017","8,1E+017",0,FTB,NFD,DPPA,FTA,FTBMA,NFD,FTM
125,"1,8E+019","2,9E+019","4,5E+020",5E+018,"5,8E+019","5,7E+018",1E+018,"9,2E+017",1E+016,FTB,NFD,DPPA,FTA,FTBMA,NFD,FTM
126,"6,3E+017","7,64E+019",6E+020,"2,99E+018","1,18E+020","8,6E+017","4,4E+017","9,6E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,FTM
127,"2,01E+018","2,08E+019","4,52E+020","2,04E+018","1,01E+020","2,91E+018","3,08E+018","1,31E+018",1E+016,FTM,FTM,FTBMA,DER,FTBMA,FTBMA,FTA
128,"2,1E+018","3,02E+019","4,91E+020","3,34E+018","1,13E+020","3,81E+018","5,1E+018","2,03E+018",1E+016,FTM,FTM,FTBMA,DER,FTBMA,FTBMA,FTA
129,"3,11E+018","3,89E+019","4,55E+020","4,26E+018","1,74E+020","4,26E+018","6,7E+018","2,28E+018",3E+016,FTM,FTM,FTBMA,DER,FTBMA,FTBMA,FTA
130,3E+017,"2,53E+019","7,17E+019","2,6E+017","1,85E+018","6,8E+017","1,3E+018","2,3E+017","1,1E+017",FTA,FTA,NFD,DER,FTBMA,FTBMA,FTA
131,"2,2E+018",2E+020,"6,4E+020","9,8E+017",1E+019,"5,8E+018","1,3E+019","2,1E+018","7,2E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
132,"3,3E+018","1,6E+020","4,7E+020","1,2E+018","1,6E+019","7,5E+018","1,6E+019","2,4E+018","8,3E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
133,7E+018,"1,7E+020","5,9E+020","1,5E+018","1,5E+019","1,6E+019","3,7E+019","4,8E+018","1,1E+018",FTA,FTA,DERA,DER,FTBMA,FTBMA,FTA
134,"1,5E+018","1,5E+019","6,9E+020",4E+018,"5,2E+019","3,4E+018","1,4E+019","2,2E+018","1,4E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
135,"8,5E+017",6E+019,"6,15E+020","6,4E+018",6E+019,"5,5E+018","1,66E+019","2,8E+018","1,1E+017",FTA,FTA,FTBMA,NFD,FTBMA,FTBMA,FTA
136,"2,3E+017","8,89E+019","7,18E+020","3,37E+018","2,08E+019",2E+016,5E+016,4E+016,0,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
137,"2,83E+018","1,28E+020","7,24E+020","4,11E+018","2,41E+019","5,8E+017","7,7E+017",1E+017,"1,97E+018",DAE,DER,NFD,DAE,DER,DERA,DAE
138,"2,69E+018","6,9E+019","7,12E+020","5,67E+018","2,27E+019",6E+017,"8,1E+017","1,1E+017","2,91E+018",DER,DER,FTBMA,DAE,DER,DERA,DAE
139,"5,6E+017","3,6E+019","8,4E+020","1,3E+018","1,2E+019","4,1E+017","1,6E+017","8,3E+017",1000000000000000,SF,NFD,NFD,FTB,FTBMA,NFD,SF
140,"3,6E+018",4E+019,"7,3E+020","1,5E+018","1,5E+019","6,6E+018","8,1E+018","1,7E+018",1000000000000000,FTA,FTA,FTBMA,DER,FTBMA,FTBMA,DER
141,"3,8E+018",4E+019,"8,2E+020","1,7E+018","1,6E+019","8,4E+018","8,4E+018","2,2E+018",6E+016,FTA,FTM,FTBMA,DER,FTBMA,FTBMA,DER
142,"4,9E+017","1,1E+019","1,1E+019","1,3E+017","1,2E+018","6,3E+017","6,8E+017","1,5E+017",0,FTA,FTA,NFD,DER,FTBMA,NFD,SF
143,"6,3E+017","1,4E+019","1,9E+020","2,9E+017","2,5E+018","1,2E+018","1,1E+018","2,7E+017",0,FTA,FTA,NFD,DER,FTBMA,NFD,FTM
144,"7,6E+017","2,4E+019","2,2E+020","3,4E+017","3,6E+018","1,3E+018","1,3E+018","3,4E+017",0,FTA,FTM,NFD,DER,FTBMA,NFD,FTM
145,1E+018,"2,4E+019","2,4E+020","4,6E+017","6,9E+018","2,5E+018","2,9E+018","8,1E+017",1E+016,FTA,FTM,FTBMA,DER,FTBMA,FTBMA,FTA
146,"6,6E+017","1,85E+019","7,64E+019","2,5E+017","2,5E+017","1,9E+017","2,2E+017",2E+016,8E+016,DAE,NFD,NFD,NFD,DAE,NFD,FTA
147,"1,31E+018","3,17E+019","1,41E+020","2,4E+017","4,1E+017","3,9E+017","4,9E+017",4E+016,1E+017,DAE,NFD,NFD,NFD,FTBMA,NFD,FTA
148,"8,8E+017","1,31E+019","4,26E+019",9E+016,"1,6E+017","2,4E+017","2,2E+017",2E+016,6E+016,DAE,NFD,NFD,NFD,FTBMA,NFD,FTA
149,"1,13E+018","1,49E+019","4,19E+019","1,1E+017","2,2E+017",3E+017,3E+017,2E+016,6E+016,DAE,NFD,NFD,NFD,FTBMA,NFD,FTA
150,"2,2E+017","4,2E+019","7,1E+020","2,8E+018","1,4E+019","5,6E+017",9E+016,"4,3E+017",1000000000000000,FTB,FTB,NFD,FTB,FTBMA,FTBMA,SF
151,"3,6E+018",0,0,"1,2E+018","1,2E+019","3,7E+018","3,1E+018","1,1E+018",1000000000000000,FTM,FTM,FTBMA,DER,FTBMA,FTBMA,DAE
152,"4,3E+018","9,3E+019","6,9E+020","2,3E+018","1,3E+019","4,2E+018","3,2E+018","1,1E+018",2E+017,FTB,NFD,FTBMA,FTA,FTBMA,FTBMA,DAE
153,"1,67E+018","2,89E+019","6,06E+020","1,66E+018","7,09E+018","9,1E+017","4,4E+017","1,56E+018","8,4E+017",NFD,NFD,FTBMA,NFD,DER,NFD,DAE
154,"5,19E+018","2,94E+019","6,41E+020","1,94E+018","8,06E+018","2,05E+018","1,19E+018","1,83E+018","2,87E+018",NFD,NFD,DERA,DER,DER,NFD,DAE
155,"3,66E+018","5,16E+019","6,63E+020","1,45E+018","7,39E+018","1,19E+018","7,1E+017","1,19E+018","1,7E+018",NFD,NFD,DERA,NFD,DER,NFD,DAE
156,2E+019,"2,8E+019","6,66E+020","1,74E+019","9,6E+019","9,74E+019","5,11E+019","2,57E+019",0,FTM,FTM,FTBMA,NFD,FTBMA,NFD,FTM
157,"5,7E+017","2,62E+019","1,34E+020","1,45E+018","2,41E+018","1,3E+017","1,1E+017",0,"1,2E+017",NFD,NFD,NFD,DER,DAE,DERA,DER
158,5E+017,"3,54E+019","1,53E+020","1,33E+018","2,9E+018",1E+017,1E+017,2E+016,"1,2E+017",DAE,DERA,NFD,DAE,DAE,DERA,DPP
159,0,"5,9E+019","2,21E+020",8E+016,"9,6E+017",0,0,0,0,DAE,DPPA,NFD,DPPA,NFD,NFD,SF
160,0,"1,07E+020","3,89E+020",0,"1,09E+018",0,0,0,0,DPP,DPPA,NFD,DPPA,NFD,NFD,SF
161,0,"9,05E+019","3,53E+020","5,7E+017","2,7E+018",0,0,0,0,SF,DPPA,NFD,DPPA,NFD,NFD,SF
162,"1,27E+018","6,22E+019","7,16E+020","1,74E+018","9,73E+018","1,07E+018","1,54E+018","1,1E+017","2,24E+018",DAE,DAE,FTBMA,DAE,DAE,NFD,DAE
